domain	phylum	class	order	family	genus	species	OTU
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Tropheryma	?	OTU_1
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_2
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?	OTU_3
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?	OTU_4
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	?	OTU_5
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_6
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_7
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?	OTU_8
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	?	OTU_9
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?	OTU_10
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	?	OTU_11
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella	?	OTU_12
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_13
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	?	OTU_14
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?	OTU_15
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	?	?	OTU_16
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?	OTU_17
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	?	OTU_18
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	?	OTU_19
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae Sedis XI	Gemella	?	OTU_20
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?	OTU_21
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?	OTU_22
Bacteria	?	?	?	?	?	?	OTU_23
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	?	OTU_24
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	?	OTU_25
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	?	OTU_26
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	?	OTU_27
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_28
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?	OTU_29
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	?	?	OTU_30
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	?	OTU_31
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_32
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	?	OTU_33
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	?	OTU_34
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Parvimonas	?	OTU_35
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Stomatobaculum	?	OTU_36
Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium	?	OTU_37
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?	OTU_38
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?	OTU_39
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	?	OTU_40
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae Sedis XI	Gemella	?	OTU_41
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_42
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	?	OTU_43
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?	OTU_44
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	?	OTU_45
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	?	OTU_46
?	?	?	?	?	?	?	OTU_47
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_48
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	?	OTU_49
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?	OTU_50
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Vulcaniibacterium	?	OTU_51
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	?	?	OTU_52
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	?	OTU_53
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?	OTU_54
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	?	OTU_55
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?	OTU_56
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	?	?	?	OTU_57
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_58
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	?	OTU_59
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_60
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	?	OTU_61
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	?	OTU_62
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_63
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	?	OTU_64
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	?	?	OTU_65
Bacteria	Candidatus Saccharibacteria	Saccharibacteria_genera_incertae_sedis	Saccharibacteria_genera_incertae_sedis	Saccharibacteria_genera_incertae_sedis	Saccharibacteria_genera_incertae_sedis	?	OTU_66
Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?	OTU_67
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	?	OTU_68
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	?	OTU_69
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	?	OTU_70
Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Hydrogenophilus	?	OTU_71
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	?	OTU_72
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Micrococcus	?	OTU_73
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_74
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	?	?	OTU_75
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?	OTU_76
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_77
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	?	OTU_78
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	?	?	?	OTU_79
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?	OTU_80
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	?	OTU_81
Bacteria	?	?	?	?	?	?	OTU_82
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	?	OTU_83
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	?	?	OTU_84
