OTU	NTC	ad1-018	ad1-021	ad1-022	ad1-028	ad1-030	ad1-031	ad1-038	ad1-040	ad1-041	ad2-001	ad2-003	ad2-005	ad2-006	ad2-007	ad2-008	ad2-009	ad2-010	ad2-011	ad2-012	ad2-013	ad2-014	ad2-015	ad2-016	ad2-018	ad2-019	ad2-021	ad2-022	ad2-023	ad2-025	ad2-029	ad2-030	ad2-031	ad2-032	ad2-034	ad2-035	ad2-036	ad2-038	ad2-039	ad2-040	ad2-043	ad2-045	ad2-047	ad3-001	ad3-003	ad3-004	ad3-008	ad3-015	ad3-018	ad3-029	ad3-033
OTU_1	0	0	2	0	0	6	0	24784	0	0	0	243	10	2	0	0	2	0	1	1	7395	0	11839	0	1	1	9	0	0	1	2	0	876	0	1	0	0	37	0	2	0	1	0	0	175	0	0	9810	1	16702	1
OTU_2	1310	0	0	294	2872	131	0	0	3	843	318	710	142	695	1284	761	2	799	739	939	6	155	1708	450	373	452	35	41	19	417	270	0	68	1047	0	1766	789	353	146	1890	66	1072	2565	11	1105	1062	223	5	122	175	36
OTU_3	0	1	0	601	244	895	0	1	0	518	462	152	97	334	3216	83	0	172	419	18	0	35	1378	191	1037	889	0	6	56	1416	1155	10	36	56	0	1565	384	789	67	818	673	1784	89	6463	270	92	205	2	55	0	3
OTU_4	0	0	0	1008	1609	7417	0	0	0	0	1	195	39	3514	255	5	0	4	206	65	0	50	413	1081	0	0	8	0	13	2112	1474	729	53	29	1	375	2	321	37	65	37	153	39	242	54	231	6	0	48	2	3
OTU_5	0	2	0	617	1342	2786	2	0	0	202	229	197	68	855	664	31	9	469	103	47	2	98	548	479	425	241	31	1	74	2154	1117	107	52	328	0	740	74	473	93	401	597	916	83	2206	140	611	322	7	302	1	7
OTU_6	0	2	2	507	2799	275	0	0	7	238	154	93	81	619	619	72	0	886	159	29	10	414	552	255	94	211	44	8	19	576	394	0	50	474	0	922	365	745	87	749	867	316	121	1899	52	536	230	0	401	3	1
OTU_7	28	1	0	166	726	1129	0	1	0	194	361	311	162	3015	953	29	5	466	247	48	10	71	187	353	269	310	195	11	15	245	61	0	48	264	0	88	515	880	4	131	436	459	73	0	84	525	159	2	3275	1	16
OTU_8	0	0	0	169	225	2414	1	0	5	8	156	182	34	0	419	63	0	193	1	215	3	1	1067	994	224	0	0	7	43	1917	526	0	13	336	0	377	15	577	50	170	138	1809	33	0	168	322	676	0	4	1	0
OTU_9	0	0	0	374	1947	289	0	0	0	710	148	86	71	1260	484	154	0	464	143	4	1	96	206	273	179	804	3	6	37	417	371	21	24	314	3	373	316	767	108	373	219	621	140	662	151	234	423	4	117	0	0
OTU_10	0	0	0	572	2820	1152	1	0	0	28	0	418	57	0	2	0	0	218	6	301	1	13	202	93	92	65	0	0	138	2028	1089	95	27	531	0	74	1	495	13	39	139	1131	2	0	606	259	286	0	1	0	0
OTU_11	0	22	0	196	2291	15	48	0	0	21	440	24	39	756	445	95	1	98	62	0	1	156	337	92	154	1129	4	7	16	217	364	2	17	173	0	377	407	639	42	256	844	643	103	551	32	329	295	0	686	0	2
OTU_12	0	68	36	15	24	69	15	40	306	147	29	0	16	1	3	39	1765	81	65	2498	102	175	13	0	34	19	26	760	303	7	7	143	463	2056	258	384	975	13	58	48	27	30	89	0	12	174	180	28	125	330	0
OTU_13	271	0	0	138	4337	61	0	0	0	731	119	24	45	0	292	109	0	302	0	4	0	41	244	258	113	345	0	11	17	424	138	0	25	11	0	445	879	187	79	244	197	287	305	230	75	154	574	0	6	0	0
OTU_14	253	0	1	25	0	8	0	0	10	807	204	23	41	0	443	1538	1	464	19	25	1	5	4	386	27	2095	0	5	38	77	77	0	9	66	0	1115	159	625	149	1138	1059	191	43	0	83	85	410	1	1	0	0
OTU_15	0	0	0	232	287	3412	2	0	0	364	159	72	2	0	244	0	0	445	0	4	0	0	76	79	226	0	11	7	2	394	960	0	26	1906	0	403	1	158	19	42	522	556	26	1	19	33	48	0	279	0	0
OTU_16	0	0	0	0	212	1492	0	0	0	0	9	165	26	1	492	0	0	160	53	9	0	2	514	358	155	33	0	3	41	1218	749	0	2	691	0	377	10	633	17	463	21	177	28	187	57	240	444	0	2	0	0
OTU_17	0	0	0	271	178	2907	0	0	0	0	31	203	8	1	336	0	0	460	1	5	0	16	246	601	1	0	1	1	26	959	299	0	12	89	0	81	0	158	67	17	45	5	88	6	58	259	272	0	4	0	0
OTU_18	0	0	0	7	155	1108	0	0	0	295	108	34	31	0	224	207	0	74	21	41	0	0	54	570	5	360	1	20	79	64	376	0	1	58	0	815	60	115	46	267	1089	503	11	0	74	149	599	0	13	0	7
OTU_19	3827	24	13	36	16	2	5	13	238	36	23	0	69	4	9	655	213	10	4	271	38	47	12	0	3	9	21	334	150	3	1	62	51	141	38	55	39	0	18	72	6	44	61	4	30	107	101	41	92	134	393
OTU_20	0	0	0	190	206	73	2	0	0	433	127	14	42	8	215	111	0	355	95	21	0	25	77	233	81	226	4	33	104	50	273	0	2	67	0	231	182	286	43	530	667	340	43	0	50	257	181	0	28	0	0
OTU_21	0	0	0	181	396	1045	0	0	0	24	12	122	20	100	239	24	0	81	89	0	1	0	192	205	92	20	3	0	14	772	238	133	8	160	0	110	20	198	46	62	17	299	8	548	47	117	180	0	39	0	0
OTU_22	0	0	0	28	1021	143	0	0	0	68	35	108	13	0	406	7	0	5	2	12	0	5	157	62	138	5	2	0	15	294	218	1	37	5	0	1063	156	140	43	93	169	874	28	45	38	74	3	3	64	0	0
OTU_23	0	199	76	35	37	9	29	23	218	77	33	5	152	8	13	370	196	145	11	204	139	244	34	0	8	0	128	99	143	29	0	121	173	69	115	71	156	2	94	25	15	56	168	0	7	199	178	195	89	237	781
OTU_24	0	0	0	174	333	1719	1	0	0	8	0	73	6	47	133	2	0	46	7	30	0	2	64	122	72	5	0	0	14	664	311	164	3	84	0	99	9	73	7	9	5	279	11	629	36	46	55	0	16	0	0
OTU_25	0	0	0	90	325	809	0	0	0	354	1	53	0	2	17	0	0	23	0	0	0	29	120	148	0	18	1	0	0	431	941	0	25	109	0	49	12	108	0	20	57	78	24	3	42	0	700	0	0	0	0
OTU_26	0	3	0	100	1474	26	1	0	0	247	142	8	24	0	79	93	0	101	9	0	0	50	43	84	36	318	2	6	10	36	75	0	4	50	0	65	59	191	25	573	54	104	4	0	18	180	155	0	3	43	0
